item_id:token_seq	title:token_seq	topic:token_seq	sub_topic:token_seq	difficulty:token
DSA04007	HỆ CƠ SỐ K	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	2
DSA04008	SỐ FIBONACCI THỨ N	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	2
DSA04009	LŨY THỪA MA TRẬN 1	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	2
DSA04011	TÍCH HAI SỐ NHỊ PHÂN	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	2
DSA04012	TÍCH ĐA THỨC	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	2
DSA04013	SẮP XẾP KANGURU	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	2
DSA04014	CẶP NGHỊCH THẾ	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	2
DSA04023	KHOẢNG CÁCH NHỎ HƠN K	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	2
DSA05003	DÃY CON CHUNG DÀI NHẤT CỦA BA XÂU	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05006	TỔNG LỚN NHẤT CỦA DÃY CON TĂNG DẦN	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05007	TỔNG LỚN NHẤT CỦA DÃY CON KHÔNG KỀ NHAU	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05014	CATALAN NUMBER	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05015	TÍNH P(N,K)	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05016	SỐ UGLY	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05017	DÃY SỐ BI-TONIC	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05018	XÂU CON ĐỐI XỨNG DÀI NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05019	HÌNH VUÔNG LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05020	ĐƯỜNG ĐI NHỎ NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05022	KÝ TỰ GIỐNG NHAU	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05023	TỔNG CÁC XÂU CON	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05024	TỔNG BẰNG K	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05028	BIẾN ĐỔI XÂU	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05031	TỔNG BÌNH PHƯƠNG	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05035	CHỮ SỐ SẮP XẾP TĂNG DẦN	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05036	TĂNG - GIẢM	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05037	CHỮ SỐ SẮP XẾP TĂNG DẦN	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05038	DÃY CON TĂNG DÀI NHẤT 2 CHIỀU	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05040	DÃY TAM GIÁC DÀI NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05041	BIẾN ĐỔI VỀ XÂU ĐỐI XỨNG	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05043	SỐ THUẬN NGHỊCH	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA05047	CHỌN Ô	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA06037	SẮP XẾP ĐOẠN CON	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	2
DSA06038	CẶP SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	2
DSA07008	BIẾN ĐỔI TRUNG TỐ - HẬU TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	2
DSA07011	BIẾN ĐỔI HẬU TỐ - TIỀN TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	2
DSA07012	BIẾN ĐỔI HẬU TỐ - TRUNG TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	2
DSA07016	BIỂU THỨC TĂNG GIẢM	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	2
DSA07017	PHẦN TỬ BÊN PHẢI NHỎ HƠN	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	2
DSA07019	HÌNH CHỮ NHẬT LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	2
DSA07028	NHỊP CHỨNG KHOÁN	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	2
DSA07029	GIẢI MÃ XÂU KÝ TỰ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	2
DSA07041	BIỂU THỨC ĐÚNG DÀI NHẤT	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	2
DSA08004	GIÁ TRỊ NHỎ NHẤT CỦA XÂU	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	2
DSA08009	BIẾN ĐỔI S – T	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	2
DSA08025	QUÂN MÃ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Hàng đợi	2
DSA09006	ĐƯỜNG ĐI THEO DFS VỚI ĐỒ THỊ VÔ HƯỚNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09007	ĐƯỜNG ĐI THEO BFS TRÊN ĐỒ THỊ VÔ HƯỚNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09008	ĐẾM SỐ THÀNH PHẦN LIÊN THÔNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09009	TÌM SỐ THÀNH PHẦN LIÊN THÔNG VỚI BFS	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09010	KIỂM TRA TÍNH LIÊN THÔNG MẠNH	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09011	SỐ LƯỢNG HÒN ĐẢO	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09012	LIỆT KÊ ĐỈNH TRỤ	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09014	KIỂM TRA CHU TRÌNH TRÊN ĐỒ THỊ VÔ HƯỚNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09015	KIỂM TRA CHU TRÌNH TRÊN ĐỒ THỊ CÓ HƯỚNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09016	KIỂM TRA CHU TRÌNH TRÊN ĐỒ THỊ CÓ HƯỚNG VỚI DFS	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09017	KIỂM TRA ĐỒ THỊ CÓ PHẢI LÀ CÂY HAY KHÔNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09018	LIỆT KÊ ĐỈNH TRỤ	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	2
DSA09019	KIỂM TRA CHU TRÌNH	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	2
DSA09028	TÔ MÀU ĐỒ THỊ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	2
DSA09029	ĐƯỜNG ĐI HAMILTON	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	2
DSA09030	ĐỒ THỊ HAI PHÍA	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	2
DSA09032	KẾT BẠN	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA09033	MẠNG XÃ HỘI	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	2
DSA10001	TÌM ĐƯỜNG	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	2
DSA10003	KIỂM TRA CHU TRÌNH SỬ DỤNG DISJOIN SET	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	2
DSA10006	CÂY KHUNG CỦA ĐỒ THỊ THEO THUẬT TOÁN DFS	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	2
DSA10007	CÂY KHUNG CỦA ĐỒ THỊ THEO THUẬT TOÁN BFS	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	2
DSA11001	CÂY BIỂU THỨC 1	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	2
DSA11002	CÂY BIỂU THỨC 2	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	2
DSA11003	DUYỆT CÂY 1	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	2
DSA11004	DUYỆT CÂY THEO MỨC	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	2
DSA11005	DUYỆT CÂY 2	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	2
DSA11008	KIỂM TRA NODE LÁ	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	2
DSA11033	TRANG TRÍ LÁ CỜ	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSAKT012	ĐỔI TIỀN	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
OLP203	BẢNG SỐ ZIG-ZAG	N/A	N/A	2
TN05009	CHU TRÌNH THEO DFS	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	2
DSA_P097	DI CHUYỂN ROBOT TRÊN BẢN ĐỒ LỚN	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Hàng đợi	3
DSA01018	TẬP CON LIỀN KỀ PHÍA TRƯỚC	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	3
DSA02009	CHIA MẢNG	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	3
DSA02011	MÁY ATM	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	3
DSA02015	LOẠI BỎ DẤU NGOẶC	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	3
DSA02027	NGƯỜI DU LỊCH	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	3
DSA02028	CHIA ĐỀU	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	3
DSA03014	SỐ KHỐI LẬP PHƯƠNG	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	3
DSA03027	GIÁ TRỊ LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	3
DSA04006	ĐẾM SỐ BÍT 1	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	3
DSA05010	DÃY CON DÀI NHẤT CÓ TỔNG CHIA HẾT CHO K	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	3
DSA05011	SỐ CÓ TỔNG CHỮ SỐ BẰNG K	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	3
DSA05021	CẶP SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	3
DSA05030	DI CHUYỂN VỀ GỐC TỌA ĐỘ	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	3
DSA05032	XÂU ĐỐI XỨNG 1	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	3
DSA05033	XÂU ĐỐI XỨNG 2	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	3
DSA05039	TỔNG CHỮ SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	3
DSA05046	LŨY THỪA BẬC K	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	3
DSA06045	XÂU TỐT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	3
DSA07005	BIỂU THỨC TƯƠNG ĐƯƠNG	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	3
DSA07006	XÓA DẤU NGOẶC	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	3
DSA07007	SO SÁNH BIỂU THỨC	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	3
DSA07018	TỔNG ĐA THỨC	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	3
DSA07024	GHÉP VÁN GỖ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	3
DSA07030	HÌNH CHỮ NHẬT 0-1	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	3
DSA08010	BIẾN ĐỔI SỐ TỰ NHIÊN	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	3
DSA08012	TÌM SỐ K THỎA MÃN ĐIỀU KIỆN	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	3
DSA08020	BIẾN ĐỔI SỐ NGUYÊN TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	3
DSA08022	BỘI SỐ LỚN NHẤT CỦA 3	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Hàng đợi	3
DSA08029	QUAY HÌNH VUÔNG	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	3
DSA09031	CHÚ CỪU XA CÁCH	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	3
DSA09034	ĐẾM SỐ AO	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	3
DSA09037	HỌP MẶT	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	3
DSA09049	LAN TRUYỀN DINH DƯỠNG	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	3
DSA10008	DIJKSTRA	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	3
DSA10009	FLOYD	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	3
DSA10011	DI CHUYỂN TRÊN BẢNG SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	3
DSA10012	ĐƯỜNG ĐI TRUNG BÌNH	CÁC MÔ HÌNH THUẬT TOÁN	Đồ thị nâng cao	3
DSA10015	KRUSKAL	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Đồ thị nâng cao	3
DSA10017	CHU TRÌNH ÂM	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Đồ thị nâng cao	3
DSA11006	DUYỆT CÂY KIỂU XOẮN ỐC	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11010	CÂY NHỊ PHÂN HOÀN HẢO	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11011	CÂY NHỊ PHÂN ĐỦ	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11012	CÂY NHỊ PHÂN BẰNG NHAU	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11014	TỔNG NODE LÁ BÊN PHẢI	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11015	TỔNG LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11016	BIẾN ĐỔI SANG CÂY NHỊ PHÂN TÌM KIẾM	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11017	DUYỆT CÂY NHỊ PHÂN TÌM KIẾM 1	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11018	XÂY DỰNG LẠI CÂY NHỊ PHÂN TÌM KIẾM	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11019	DUYỆT CÂY NHỊ PHÂN TÌM KIẾM 2	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11020	KIỂM TRA CÂY NHỊ PHÂN TÌM KIẾM	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11021	NODE LÁ CỦA CÂY NHỊ PHÂN TÌM KIẾM	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11022	NODE TRUNG GIAN CỦA CÂY NHỊ PHÂN TÌM KIẾM	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11023	ĐỘ SÂU CÂY NHỊ PHÂN TÌM KIẾM	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11024	CÂY NHỊ PHÂN TÌM KIẾM CÂN BẰNG 1	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11025	CÂY NHỊ PHÂN TÌM KIẾM CÂN BẰNG 2	CÁC MÔ HÌNH THUẬT TOÁN	Cây nhị phân	3
DSA11026	DUYỆT SAU CÂY TÌM KIẾM CÂN BẰNG	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Cây nhị phân	3
DSA11027	ĐẾM SỐ NODE LÁ CÂY NHỊ PHÂN TÌM KIẾM CÂN BẰNG	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Cây nhị phân	3
DSA11028	ĐỘ CAO CỦA CÂY	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Cây nhị phân	3
DSA11029	ĐƯỜNG ĐI TỚI NODE LÁ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Cây nhị phân	3
DSAKT060	TRUY VẤN ĐỐI XỨNG	CÁC CẤU TRÚC DỮ LIỆU NÂNG CAO	Cây nhị phân	3
OLP220	DI CHUYỂN KANGAROO	N/A	N/A	3
DSA_P035	HÀNH TRÌNH DU LỊCH - 2	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	4
DSA02014	TỪ ĐIỂN	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	4
DSA02018	BIỂU THỨC TOÁN HỌC	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	4
DSA02019	ĐƯỜNG ĐI DÀI NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	4
DSA02020	SỐ NHỎ NHẤT CÓ N ƯỚC SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	4
DSA02021	KÝ TỰ ĐẶC BIỆT	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	4
DSA05045	BÀI TOÁN CÁI TÚI KHÔNG NGUYÊN	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	4
DSA07015	TÍNH TOÁN GIÁ TRỊ BIỂU THỨC TRUNG TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	4
DSA07022	PHẦN TỬ CÓ SỐ LẦN XUẤT HIỆN NHIỀU HƠN BÊN PHẢI	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	4
DSA07045	GÕ BÀN PHÍM	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	4
DSA08011	KHOẢNG CÁCH XÂU KÝ TỰ	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	4
DSA08013	DI CHUYỂN TRÁNH VẬT CẢN	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	4
DSA08014	GIEO MẦM	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	4
DSA08015	DI CHUYỂN TRONG KHÔNG GIAN	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	4
DSA08045	HÀNG RÀO	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	4
DSA10016	NỐI ĐIỂM	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Đồ thị nâng cao	4
DSA11030	KHOẢNG CÁCH GIỮA HAI NODE	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Cây nhị phân	4
DSA03033	ATM THẾ HỆ MỚI	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	5
DSA04019	CẶP ĐIỂM GẦN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	5
DSA04030	SỐ TRIBONACCI	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	5
DSA08016	HEXGAME	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	5
